problems,,,,
AMR-to-Text生成,,,,
AMR解析,,,,
CT降噪,,,,
CT重建,,,,
sEMG重建,,,,
SLAM优化,,,,
阿尔兹海默症分类,,,,
安全带检测,,,,
安全帽检测,,,,
安全帽佩戴检测,,,,
安全状况评估,,,,
靶区分割,,,,
壁画分割,,,,
壁画修复,,,,
边缘检测,,,,
变种分类,,,,
标签分类,,,,
标签完备,,,,
标题生成,,,,
标志识别,,,,
表情识别,,,,
表示学习,表征学习,,,
并发症预测,,,,
病害检测,,,,
病害识别,,,,
病灶分割,,,,
步态识别,步态动态识别,,,
草图检索,,,,
草图生成,,,,
草图识别,,,,
测量,,,,
层次分割,,,,
产量预测,,,,
场景分割,,,,
场景分类,,,,
场景文本擦除,,,,
场景预测,,,,
超分辨率,,,,
超分辨率分析,,,,
超分辨率复原,,,,
超分辨率网络,分辨率网络,,,
超分辨率重建,超分辨图像重建,超分辨重建,超分重建,
超声分类,,,,
超声甲状腺分割,,,,
车道线检测,,,,
车辆检测,,,,
车辆识别,,,,
车辆重识别,,,,
车牌定位,,,,
车牌分割,,,,
车牌识别,,,,
车型识别,,,,
城市交通信号控制,,,,
船舶检测,,,,
唇语识别,,,,
词典构建,,,,
词法分析,,,,
词干提取,,,,
答案选择,,,,
答题求解,,,,
单词识别,,,,
单字词检错,,,,
导航,,,,
道路提取,,,,
地图构建,,,,
地图重构,,,,
地物提取,,,,
低光增强,,,,
点云补全,,,,
点云分割,点云数据分类分割,,,
点云分类,,,,
点云分析,,,,
点云配准,,,,
点云修复技术,,,,
点云姿态迁移,,,,
电池荷电状态预测,,,,
电线识别,,,,
调度优化,,,,
跌倒检测,,,,
订单量预测,,,,
动态避障,,,,
动态识别,,,,
动作定位,,,,
动作识别,,,,
动作预测,,,,
短期电力负荷预测,,,,
短语抽取,,,,
短语识别,,,,
短语提取,,,,
对话任务,,,,
对话生成,,,,
对抗攻击防御,,,,
对抗样本生成,,,,
多标签分类,,,,
多目标鲁棒优化设计,,,,
多目标优化,,,,
恶意代码分类,,,,
恶意代码检测,,,,
发病趋势预测,,,,
发音偏误确认,,,,
法向估计,,,,
反讽识别,,,,
方程快速求解,,,,
方面词提取,,,,
房价智能评估,,,,
仿真生成,,,,
肺结节分割,,,,
肺结节检测,,,,
肺裂分割,,,,
分词,分词方法,分词领域移植,,
分割,,,,
分类,分类与分割,,,
分类检测,,,,
风格迁移,,,,
风险评估,,,,
服装变形预测,,,,
服装检索,,,,
辅助诊断,,,,
负荷预测,,,,
复合物识别,,,,
改写检测,,,,
钢液检测,,,,
跟踪识别,,,,
公式识别,,,,
功率预测,,,,
购买力预测,,,,
古壁画朝代识别,,,,
古文断句,,,,
股票趋势预测,,,,
股票收益预测,,,,
股市波动预测,,,,
故事线抽取,,,,
故障采样,,,,
故障检测,故障预检测,,,
故障识别,,,,
故障诊断,故障智能诊断,,,
关键词提取,,,,
关键点定位,,,,
关键点检测,关键部件检测,,,
关节点修复,,,,
关系抽取,,,,
关系分类,,,,
关系分析,,,,
关系识别,关系自动识别,,,
关系提取,,,,
关系体系转换,,,,
观点分析,,,,
观点句识别,,,,
光伏板积灰程度识别,,,,
硅片刻蚀深度预测,,,,
轨迹规划,,,,
轨迹控制,,,,
轨迹匹配,,,,
轨迹预测,,,,
轨迹预测 ,,,,
哈希检索,,,,
海马体分割,,,,
海洋锋检测,,,,
害虫检测,,,,
汉字生成,,,,
汉字识别,,,,
航迹规划,,,,
航迹预测,,,,
航路规划,,,,
湖泊提取,,,,
划痕识别,,,,
画像合成,,,,
话题分割,,,,
话题检测与追踪,,,,
话题演化跟踪,,,,
灰尘检测,,,,
回复检索,,,,
回复生成,,,,
活体检测,,,,
火焰检测,,,,
火灾识别,,,,
机构名翻译,,,,
机器翻译,,,,
基因剪接位点识别,,,,
基因型填补,,,,
级联预测,,,,
疾病预测,,,,
甲状腺分割,,,,
检测,,,,
检索,,,,
建筑检测,,,,
交通标志检测,,,,
交通流量预测,,,,
交通流预测,,,,
角色标注,,,,
角色识别,,,,
结构识别,,,,
精细定位,,,,
精细识别,,,,
井下轨道检测,,,,
颈缘线提取,,,,
径流预报,,,,
静脉识别,,,,
句对抽取,,,,
句法分析,,,,
句类识别,,,,
句子分割,,,,
句子结构识别,,,,
句子排序,,,,
决策优化,,,,
绝缘子检测,,,,
抗噪检测,,,,
可视分析,,,,
可视化,,,,
客流预测,,,,
空间数据不确定性重建,,,,
口罩佩戴检测,,,,
懒惰学习,,,,
类型判别,,,,
立体匹配,,,,
联合抽取,,,,
链路预测,,,,
良恶性识别,,,,
裂缝分割,,,,
裂缝检测,,,,
裂缝识别,,,,
裂痕检测,,,,
灵敏度预测,,,,
零件识别,,,,
流量分类,,,,
流量检测,,,,
流量预测,,,,
流行度预测,,,,
楼层定位,,,,
漏洞检测,,,,
漏油检测,,,,
颅面复原,,,,
路径规划,,,,
路径收敛,,,,
路径推荐,,,,
路径优化,,,,
路面裂缝检测,,,,
轮廓感知,,,,
盲去噪,,,,
牦牛脸识别,,,,
密度估计,,,,
密度聚类,,,,
描述生成,描述自动生成,,,
敏感信息检测,,,,
命名实体识别,名实体识别,,,
模式识别,,,,
模型分类,,,,
目标分割,,,,
目标跟踪,,,,
目标检测,目标高效检测,目标实时检测,目标自动检测,目标快速检测
目标距离估计,,,,
目标区域提取,,,,
目标识别,,,,
内容分发策略,,,,
能耗优化,,,,
年龄估计,,,,
配准,,,,
碰撞检测,,,,
疲劳驾驶检测,,,,
匹配打分,,,,
篇章依存分析,,,,
拼写检查,,,,
欺诈检测,,,,
气泡分割,,,,
气温预测,,,,
前景检测,,,,
嵌入图像水印,,,,
倾斜检测,,,,
倾斜校正,,,,
情感词典构建,,,,
情感分类,情绪分类,,,
情感分析,情绪分析,,,
情感计算,,,,
情感检测,,,,
情感识别,情绪识别,情绪原因识别,,
区域分割,,,,
去除遥感影像云雾,,,,
去吉布斯伪影,,,,
去模糊,,,,
去雾,,,,
全景分割,,,,
缺陷分类,,,,
缺陷检测,缺陷在线检测,,,
缺陷识别,,,,
缺陷预测,,,,
群组活动识别,,,,
扰动推理,,,,
人脸动画,,,,
人脸检测,,,,
人脸识别,人脸属性识别,人脸隐私保护识别,,
人脸替换,,,,
人脸重建,,,,
人名识别,人名国籍识别,,,
人群计数,,,,
人群检测,,,,
人体重建,,,,
人体姿态估计,,,,
人体姿态迁移,,,,
人物识别,,,,
人像分割,,,,
人像修复,,,,
任务分配,,,,
任务型对话,,,,
乳腺癌灶分割,,,,
入侵检测,,,,
三维重建,,,,
三元组抽取,,,,
色彩优化,,,,
沙尘暴预测,,,,
伤损检测,,,,
商品分类,,,,
深度估计,,,,
深度鲁棒水印,,,,
深度图匹配,,,,
深度伪造高效检测,,,,
生产调度,,,,
生成式对话,,,,
生成式摘要,,,,
声音识别,,,,
剩余寿命预测,,,,
时间序列分类,,,,
时间序列去噪,,,,
时间序列修复,,,,
时序数据预测,,,,
实时分割,,,,
实时跟踪,,,,
实时检测,,,,
实体分类,,,,
实体关系抽取,,,,
实体关系联合抽取,,,,
实体链接,,,,
实体识别,,,,
实体属性补全,,,,
实体消歧,实体消歧方,,,
事故预警,,,,
事件抽取,,,,
事件分拨,,,,
事件分类,,,,
事件聚类,,,,
事件论元抽取,,,,
事件识别,,,,
事件预测,,,,
视觉跟踪,,,,
视觉故事生成,,,,
视觉问答,,,,
视觉追踪,,,,
视频翻译,,,,
视频合成,,,,
视频生成,,,,
视频推荐,,,,
视频修复,,,,
视频隐写,,,,
视频预测,,,,
视频着色,,,,
视频帧预测,,,,
视频追踪,,,,
视图特征提取,,,,
释义生成,,,,
手势交互,,,,
手势识别,,,,
手写签名鉴别,,,,
手语识别,,,,
寿命预测,,,,
输油管道泄漏检测,,,,
属性抽取,,,,
属性对齐,,,,
属性识别,,,,
术语标准化,,,,
术语归一化,,,,
树图布局,,,,
数据共享,,,,
数据生成,,,,
数据增强,,,,
水岸线检测,,,,
水位线检测,,,,
损害检测,,,,
特征表达,,,,
特征匹配,,,,
特征识别,,,,
特征提取,,,,
特征选择,,,,
停车泊位预测,,,,
同指消解,,,,
突发事件研判,,,,
图片识别,,,,
图书书脊分割,,,,
图像标注,,,,
图像采样,,,,
图像彩色化,,,,
图像场景分类,,,,
图像场景识别,,,,
图像篡改取证,,,,
图像的分割,,,,
图像定位,,,,
图像发布,,,,
图像分割,图像自动分割,,,
图像分类,,,,
图像分组融合,,,,
图像风格迁移,,,,
图像复原,,,,
图像检测,,,,
图像检索,,,,
图像建筑物分割,,,,
图像解混,,,,
图像聚类,,,,
图像快速分类,,,,
图像盲去模糊,,,,
图像描述生成,图像描述,,,
图像内容中文描述,,,,
图像配准,,,,
图像拼接,,,,
图像平滑,,,,
图像去斑,,,,
图像去模糊,,,,
图像去雾,,,,
图像去噪,,,,
图像全色锐化,,,,
图像融合,,,,
图像三维重建,,,,
图像深度估计,,,,
图像生成,,,,
图像识别,,,,
图像实例风格迁移,,,,
图像双重盲降噪,,,,
图像文字去除,,,,
图像稀疏重建,,,,
图像修复,图像修补,,,
图像压缩,,,,
图像阴影去除,,,,
图像噪声去除,,,,
图像增强,,,,
图像着色,,,,
图像质量评价,,,,
图像中文描述,,,,
图像重建,,,,
图像左心室分割,,,,
推荐,,,,
吞吐量预测,,,,
椭圆检测,,,,
网页正文提取,,,,
网站流量分析,,,,
危险品检测,,,,
违规评论识别,,,,
违章量预测,,,,
伪影去除,,,,
卫星图像污水处理厂识别,,,,
位姿估计,,,,
胃癌分割,,,,
文本表征,,,,
文本分割,,,,
文本分类,,,,
文本风格转换,,,,
文本共情预测,,,,
文本规则挖掘,,,,
文本检索,,,,
文本匹配,,,,
文本生成图像,,,,
文本识别,,,,
文本挖掘,,,,
文本作者识别,,,,
文档分类,,,,
文档获取,,,,
文字检测,,,,
问答,,,,
问答模型,,,,
问答配对,,,,
问答匹配,,,,
问答研究,,,,
问句分类,,,,
问句识别,,,,
问题的解答,,,,
问题生成,,,,
物体检测,,,,
物体识别,,,,
雾图去雾,,,,
息肉分割,,,,
稀疏重建,,,,
瑕疵检测,,,,
显著性检测,,,,
线画图检索,,,,
腺体细胞分割,,,,
相关性分析,,,,
相似度计算,,,,
小麦不完善粒识别,,,,
小阵语音增强,,,,
协同训练,,,,
新冠肺炎轻重症诊断,,,,
新闻自动生成,,,,
新型学习,,,,
信号增广,,,,
信息抽取,,,,
信息检测,,,,
信息隐藏方案,,,,
行人检测,,,,
行人检索,,,,
行人属性识别,,,,
行人细粒度检测,,,,
行人再识别,行人的再识别,行人重识别,,
行为检测,,,,
行为识别,,,,
兴趣点提取,,,,
姓名消歧,,,,
虚词识别,,,,
虚假评论检测,,,,
虚假评论识别,,,,
虚拟视点绘制,,,,
需求预测,,,,
序列标注,,,,
序列推荐,,,,
选址规划,,,,
学生成绩预测,,,,
血管分割,,,,
血管提取,,,,
血细胞检测,,,,
烟雾检测,,,,
烟雾浓度测量,,,,
烟雾识别,,,,
延误预测,,,,
样本分类,,,,
谣言检测,,,,
遥感图像道路提取,,,,
要素识别,,,,
医疗问答,,,,
仪表识别,,,,
胰腺分割,,,,
遗留物检测,,,,
异常检测,,,,
异常事件检测,,,,
意图分类,,,,
意图识别,,,,
阴影检测,,,,
音频隐写检测,,,,
银行卡号识别,,,,
引导滤波,,,,
引文意图分类,,,,
隐私保护,,,,
影像分割,,,,
影像分类,,,,
影像海岛岸线分割,,,,
影像厚云去除,,,,
影像重建,,,,
语法错误检测,,,,
语法纠错,,,,
语句标注,,,,
语料库构建,,,,
语义表征,,,,
语义分割,,,,
语义识别,,,,
语义相似度计算,语义相关度计算,,,
语音分类,,,,
语音分离,,,,
语音合成,,,,
语音识别,,,,
语音增强,,,,
预训练语言建模,,,,
原因识别,,,,
阅读理解,,,,
云数据牙齿分割,,,,
云团分割,,,,
云资源预测,,,,
运动规划,,,,
运动控制,,,,
运输规划,,,,
噪声过滤,,,,
噪声滤除,,,,
炸点检测,,,,
摘要生成,摘要,,,
长期跟踪,,,,
掌纹识别,,,,
障碍物检测,,,,
真值发现,,,,
诊断与分割,,,,
政策识别,,,,
知识表示,,,,
知识提取,,,,
知识图谱补全,,,,
知识图谱嵌入,,,,
知识图谱推理,,,,
知识推理,,,,
知识问答,,,,
指代消解,,,,
指纹定位,,,,
指纹防伪,,,,
指纹分类,,,,
质量估计,,,,
质量检测,,,,
质量评估,,,,
智能导诊,,,,
智能识别,,,,
中文分词,,,,
肿瘤分割,,,,
注视点估计,,,,
注视点预测,,,,
专利分类,,,,
状态识别,,,,
姿势检测,,,,
姿态补全,,,,
姿态分类,,,,
姿态估计,,,,
姿态检测,,,,
资源分配,,,,
资源负载预测,,,,
自动答题,,,,
自动断句,,,,
自动分割,,,,
自动分类,,,,
自动驾驶,,,,
自动驾驶运动规划,,,,
自动检测,,,,
自动文摘,,,,
自动写作,,,,
自动摘要,,,,
自然语言推理,,,,
字符识别,,,,
字体生成,,,,
字形表征,,,,
左心室分割,,,,
实例分割,,,,
图像去雨,,,,
